req_id,http_code,latency_sec
3,200,2.888388
4,200,3.189735
1,200,3.261127
5,200,3.289934
2,200,3.289061
9,200,2.745756
7,200,4.118813
8,200,4.120234
10,200,4.118754
6,200,4.118332
15,200,2.799649
12,200,3.583214
11,200,3.582705
14,200,3.581915
13,200,3.588259
17,200,2.798979
19,200,3.135154
20,200,3.133531
18,200,3.255349
16,200,3.303914
22,200,2.935659
21,200,3.356376
25,200,3.399625
24,200,3.406652
23,200,3.406931
26,200,2.828957
28,200,2.875877
27,200,2.879433
29,200,5.566068
30,200,5.565057
31,200,2.885138
35,200,2.899756
33,200,5.905874
32,200,5.906487
34,200,5.903887
40,200,2.881817
38,200,2.904897
39,200,2.921564
36,200,3.110532
37,200,3.113669
44,200,2.800181
45,200,2.917159
41,200,5.675696
42,200,5.726575
43,200,5.721718
48,200,2.955657
46,200,2.956425
50,200,5.892492
49,200,5.896954
47,200,5.895241
54,200,2.820534
55,200,2.831931
51,200,3.204987
53,200,3.261020
52,200,3.261611
58,200,2.922391
57,200,2.933341
60,200,2.935249
59,200,3.103760
56,200,3.133744
61,200,2.741623
65,200,5.596259
62,200,5.598467
64,200,5.646534
63,200,5.647962
67,200,2.811686
68,200,5.502625
70,200,5.521297
66,200,5.659403
69,200,5.662858
71,200,2.777289
72,200,3.137025
73,200,3.155419
74,200,5.570771
75,200,5.565826
76,200,2.785800
78,200,2.815745
80,200,3.195955
79,200,3.193490
77,200,3.197276
85,200,2.709908
84,200,2.969145
82,200,2.969442
83,200,3.016002
81,200,3.127040
88,200,2.714183
86,200,2.780170
87,200,2.866577
89,200,5.691587
90,200,5.697349
93,200,3.007429
95,200,5.603412
94,200,5.623343
92,200,5.644885
91,200,5.665457
99,200,2.769786
97,200,2.780568
96,200,2.817872
98,200,3.055585
100,200,3.056216
103,200,2.767787
104,200,2.994089
101,200,3.005215
102,200,5.881275
105,200,5.881532
109,200,2.823443
110,200,2.982095
106,200,3.034289
107,200,3.251770
108,200,3.250855
111,200,2.787506
114,200,3.055239
113,200,3.071012
115,200,5.762842
112,200,5.763040
116,200,2.777974
117,200,3.001602
118,200,2.999276
120,200,5.578865
119,200,5.577120
123,200,2.811738
122,200,2.812894
125,200,2.840282
124,200,5.453393
121,200,5.472546
126,200,2.741908
130,200,2.877194
128,200,3.120619
129,200,3.116743
127,200,3.123716
133,200,2.818958
135,200,2.919425
131,200,2.943661
134,200,2.953244
132,200,2.976984
138,200,2.860267
136,200,2.935914
137,200,2.959712
139,200,5.639772
140,200,5.653753
144,200,2.848032
141,200,2.858050
142,200,2.959895
145,200,3.041658
143,200,3.067070
150,200,2.767983
146,200,2.783261
149,200,3.163530
148,200,3.158676
147,200,3.156748
154,200,2.748670
155,200,2.856689
153,200,2.872855
151,200,2.946668
152,200,2.976638
158,200,2.900970
157,200,3.081001
160,200,3.106066
156,200,5.581707
159,200,5.596995
165,200,2.918440
162,200,2.914540
161,200,2.935979
163,200,3.038112
164,200,3.062481
166,200,3.040683
170,200,3.039534
168,200,3.280567
169,200,3.279097
167,200,3.279565
172,200,2.902658
173,200,2.990705
175,200,3.474280
174,200,3.580265
171,200,3.604947
176,200,2.754265
178,200,2.834251
177,200,2.868757
180,200,5.756506
179,200,5.758273
185,200,2.904468
183,200,3.052928
184,200,3.268259
181,200,3.299542
182,200,3.303362
187,200,3.074991
189,200,3.097997
186,200,5.767926
190,200,5.770988
188,200,5.770103
193,200,2.834326
194,200,2.866912
192,200,3.139429
191,200,3.242172
195,200,3.319297
199,200,2.765185
196,200,2.865243
198,200,3.034318
197,200,3.061188
200,200,3.058262
204,200,2.893662
202,200,2.925100
205,200,2.949871
203,200,5.108862
201,200,5.187233
208,200,3.366297
206,200,3.395620
209,200,3.394868
207,200,5.637495
210,200,5.655188
213,200,2.896034
211,200,2.920177
214,200,2.987941
215,200,3.172555
212,200,3.207305
218,200,2.928547
217,200,3.065631
216,200,3.063689
220,200,5.390853
219,200,5.450932
225,200,2.738333
221,200,2.789062
222,200,3.174367
223,200,3.174169
224,200,3.178057
226,200,2.755998
229,200,2.809684
230,200,2.967212
227,200,3.489055
228,200,3.515249
232,200,2.857322
233,200,3.320058
231,200,3.383058
235,200,3.412480
234,200,3.411012
240,200,2.937462
238,200,3.032338
239,200,3.059244
236,200,3.098384
237,200,3.128387
241,200,2.832057
244,200,2.848540
242,200,3.306135
243,200,3.304398
245,200,3.308674
247,200,2.777804
250,200,2.872794
248,200,2.887237
246,200,5.571121
249,200,5.597488
251,200,3.129283
252,200,3.141651
253,200,3.140061
255,200,3.154408
254,200,3.152347
258,200,2.781529
256,200,3.066543
259,200,3.083744
257,200,5.731849
260,200,5.735224
264,200,2.689067
263,200,3.001701
262,200,3.028896
261,200,5.540714
265,200,5.565683
268,200,2.819408
267,200,2.873186
270,200,2.880353
269,200,5.634815
266,200,5.664016
273,200,2.800283
272,200,2.917685
274,200,5.888735
275,200,5.951600
271,200,5.948943
279,200,2.245808
277,200,3.124517
276,200,3.152287
280,200,5.702729
278,200,5.720596
282,200,2.630569
284,200,2.987719
285,200,2.987651
281,200,3.155735
283,200,3.156526
288,200,2.934574
289,200,2.934183
290,200,3.160296
287,200,3.185541
286,200,3.185048
293,200,2.805788
291,200,2.983944
294,200,3.010390
292,200,3.012772
295,200,3.025601
296,200,2.795991
299,200,2.942003
297,200,3.080693
300,200,3.078909
298,200,3.076257
